,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,30.0,1.0,1.0,3.0,7.0,2.0,9.0,1.0,7,102.0,147.0,0,0,0
1,91.0,1.0,1.0,3.0,7.0,2.0,9.0,1.0,,346.0,710.0,,,
2,91.0,2.5,1.0,3.0,7.0,2.0,9.0,1.0,,104.0,200.0,,,
3,30.0,1.0,2.0,3.0,7.0,2.0,9.0,1.0,6,102.0,147.0,0,0,0
4,30.0,1.0,1.0,1.0,7.0,2.0,9.0,1.0,3,241.0,8.0,0,0,0
5,30.0,1.0,1.0,3.0,2.0,2.0,9.0,1.0,7,203.0,46.0,0,0,0
6,30.0,1.0,1.0,3.0,7.0,2.0,9.0,1.0,,102.0,147.0,,,
7,30.0,1.0,1.0,3.0,7.0,2.0,2.0,1.0,7,102.0,147.0,7,0,0
8,30.0,1.0,1.0,3.0,7.0,2.0,9.0,3.0,,127.0,122.0,,,
9,30.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,7,249.0,0.0,0,0,0
10,91.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,,1056.0,0.0,,,
11,91.0,2.5,1.0,1.0,2.0,2.0,2.0,3.0,,304.0,0.0,,,
12,91.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,7,903.0,153.0,0,0,0
13,91.0,2.5,2.0,3.0,2.0,2.0,2.0,3.0,7,284.0,20.0,0,0,0
14,91.0,1.0,2.0,1.0,7.0,2.0,2.0,3.0,,1036.0,20.0,,,
15,91.0,2.5,2.0,1.0,7.0,2.0,2.0,3.0,,302.0,2.0,,,
16,91.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,7,1056.0,0.0,0,0,0
17,91.0,2.5,2.0,1.0,2.0,2.0,2.0,3.0,7,304.0,0.0,0,0,0
18,91.0,1.0,2.0,1.0,2.0,2.0,9.0,3.0,,1056.0,0.0,,,
19,91.0,2.5,2.0,1.0,2.0,2.0,9.0,3.0,,304.0,0.0,,,
20,91.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,7,1056.0,0.0,2,0,4
21,91.0,2.5,2.0,1.0,2.0,2.0,2.0,1.0,7,304.0,0.0,2,0,4
22,91.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,,1056.0,0.0,,,
23,91.0,2.5,2.0,1.0,2.0,2.0,2.0,3.0,,304.0,0.0,,,
24,75.0,1.0,2.0,1.0,3.0,4.0,5.0,3.0,7,965.0,2.0,7,0,0
25,75.0,2.5,2.0,1.0,3.0,4.0,5.0,3.0,7,302.0,2.0,7,0,0
26,46.0,1.0,2.0,1.0,3.0,4.0,5.0,3.0,,448.0,12.0,,,
27,75.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,6,965.0,2.0,6,0,0
28,75.0,2.5,1.0,1.0,3.0,4.0,5.0,3.0,6,302.0,2.0,6,0,0
29,75.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,3,376.0,591.0,3,0,0
30,75.0,2.5,2.0,3.0,3.0,4.0,5.0,3.0,3,125.0,179.0,3,0,0
31,75.0,1.0,2.0,1.0,6.0,4.0,5.0,3.0,6,963.0,4.0,5,0,1
32,75.0,2.5,2.0,1.0,6.0,4.0,5.0,3.0,6,301.0,3.0,5,0,1
33,75.0,1.0,2.0,1.0,3.0,4.0,5.0,3.0,3,965.0,2.0,0,0,2
34,75.0,2.5,2.0,1.0,3.0,4.0,5.0,3.0,3,302.0,2.0,0,0,2
35,75.0,1.0,2.0,1.0,3.0,4.0,7.0,3.0,6,965.0,2.0,6,0,0
36,75.0,2.5,2.0,1.0,3.0,4.0,7.0,3.0,6,302.0,2.0,6,0,0
37,75.0,1.0,2.0,1.0,3.0,4.0,5.0,5.0,3,965.0,2.0,3,0,0
38,75.0,2.5,2.0,1.0,3.0,4.0,5.0,5.0,3,302.0,2.0,3,0,0
39,75.0,1.0,1.0,3.0,6.0,4.0,7.0,5.0,6,322.0,645.0,6,0,0
40,75.0,2.5,1.0,3.0,6.0,4.0,7.0,5.0,6,105.0,199.0,6,0,0
41,46.0,1.0,2.0,3.0,6.0,4.0,7.0,5.0,3,179.0,281.0,3,0,0
42,46.0,1.0,1.0,1.0,6.0,4.0,7.0,5.0,6,448.0,12.0,6,0,0
43,46.0,1.0,1.0,3.0,3.0,4.0,7.0,5.0,3,195.0,265.0,3,0,0
44,46.0,1.0,1.0,3.0,6.0,4.0,7.0,5.0,6,179.0,281.0,6,0,0
45,46.0,1.0,1.0,3.0,6.0,4.0,5.0,5.0,3,179.0,281.0,3,0,0
46,46.0,1.0,1.0,3.0,6.0,4.0,7.0,3.0,6,179.0,281.0,6,0,0
47,46.0,1.0,1.0,3.0,6.0,4.0,7.0,5.0,3,179.0,281.0,3,0,0
48,97.0,1.0,1.0,4.0,9.0,3.0,2.0,2.0,4,0.0,980.0,4,0,0
49,97.0,2.5,1.0,4.0,9.0,3.0,2.0,2.0,4,0.0,323.0,4,0,0
50,23.0,1.0,1.0,4.0,9.0,3.0,2.0,2.0,3,0.0,429.0,3,0,0
51,97.0,1.0,1.0,4.0,9.0,3.0,2.0,2.0,4,0.0,980.0,4,0,0
52,97.0,2.5,1.0,4.0,9.0,3.0,2.0,2.0,4,0.0,323.0,4,0,0
53,97.0,1.0,1.0,4.0,9.0,3.0,2.0,2.0,,0.0,980.0,,,
54,97.0,2.5,1.0,4.0,9.0,3.0,2.0,2.0,,0.0,323.0,,,
55,97.0,1.0,1.0,4.0,9.0,3.0,2.0,2.0,4,0.0,980.0,4,0,0
56,97.0,2.5,1.0,4.0,9.0,3.0,2.0,2.0,4,0.0,323.0,4,0,0
57,97.0,1.0,1.0,4.0,9.0,3.0,2.0,2.0,3,0.0,980.0,3,0,0
58,97.0,2.5,1.0,4.0,9.0,3.0,2.0,2.0,3,0.0,323.0,3,0,0
59,97.0,1.0,1.0,4.0,9.0,3.0,5.0,2.0,4,0.0,980.0,0,0,0
60,97.0,2.5,1.0,4.0,9.0,3.0,5.0,2.0,4,0.0,323.0,0,0,0
61,97.0,1.0,1.0,4.0,9.0,3.0,2.0,2.0,3,0.0,980.0,0,0,0
62,97.0,2.5,1.0,4.0,9.0,3.0,2.0,2.0,3,0.0,323.0,0,0,0
63,97.0,1.0,1.0,4.0,9.0,3.0,5.0,2.0,4,0.0,980.0,4,0,0
64,97.0,2.5,1.0,4.0,9.0,3.0,5.0,2.0,4,0.0,323.0,4,0,0
65,23.0,1.0,1.0,4.0,9.0,3.0,5.0,2.0,3,0.0,429.0,3,0,0
66,23.0,1.0,1.0,4.0,9.0,3.0,5.0,2.0,4,0.0,429.0,4,0,0
67,23.0,1.0,1.0,4.0,9.0,3.0,5.0,2.0,3,0.0,429.0,3,0,0
68,23.0,1.0,1.0,4.0,9.0,3.0,5.0,2.0,4,0.0,429.0,4,0,0
69,23.0,1.0,1.0,4.0,9.0,3.0,2.0,2.0,3,0.0,429.0,3,0,0
70,23.0,1.0,1.0,4.0,9.0,3.0,5.0,2.0,4,0.0,429.0,4,0,0
71,23.0,1.0,1.0,4.0,9.0,3.0,5.0,2.0,3,0.0,429.0,3,0,0
72,52.0,1.0,2.0,2.0,5.0,1.0,7.0,4.0,4,781.0,0.0,0,0,0
73,68.0,2.5,2.0,2.0,5.0,1.0,7.0,4.0,3,304.0,0.0,0,0,0
74,52.0,1.0,2.0,2.0,5.0,1.0,7.0,4.0,4,781.0,0.0,1,0,0
75,52.0,1.0,2.0,2.0,5.0,1.0,7.0,4.0,,781.0,0.0,,,
76,52.0,1.0,2.0,2.0,4.0,1.0,7.0,4.0,4,781.0,0.0,4,0,0
77,52.0,1.0,2.0,2.0,5.0,1.0,7.0,4.0,,781.0,0.0,,,
78,52.0,1.0,2.0,2.0,5.0,1.0,9.0,4.0,4,781.0,0.0,1,0,0
79,52.0,1.0,2.0,2.0,5.0,1.0,7.0,4.0,,781.0,0.0,,,
80,52.0,1.0,2.0,2.0,4.0,1.0,9.0,4.0,4,781.0,0.0,1,0,0
81,68.0,2.5,2.0,2.0,4.0,1.0,9.0,4.0,,304.0,0.0,,,
82,68.0,2.5,2.0,2.0,4.0,1.0,9.0,4.0,4,304.0,0.0,1,0,0
83,68.0,2.5,2.0,2.0,5.0,1.0,9.0,4.0,,304.0,0.0,,,
84,68.0,2.5,2.0,2.0,4.0,1.0,9.0,4.0,4,304.0,0.0,1,0,0
85,68.0,2.5,2.0,2.0,4.0,1.0,7.0,4.0,,304.0,0.0,,,
86,68.0,2.5,2.0,2.0,4.0,1.0,9.0,4.0,4,304.0,0.0,1,0,0
87,68.0,2.5,2.0,2.0,4.0,1.0,9.0,4.0,,304.0,0.0,,,
88,41.0,1.0,1.0,2.0,4.0,2.0,8.0,3.0,7,481.0,72.0,0,7,0
89,12.0,1.0,1.0,2.0,4.0,2.0,8.0,3.0,2,216.0,28.0,0,2,0
90,41.0,1.0,1.0,2.0,4.0,2.0,8.0,3.0,4,481.0,72.0,0,4,0
91,41.0,1.0,1.0,4.0,4.0,2.0,8.0,3.0,,2.0,551.0,,,
92,41.0,1.0,1.0,2.0,10.0,2.0,8.0,3.0,7,461.0,92.0,0,7,0
93,41.0,1.0,1.0,2.0,4.0,2.0,8.0,3.0,2,481.0,72.0,0,2,0
94,41.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,7,481.0,72.0,0,7,0
95,41.0,1.0,1.0,2.0,4.0,2.0,8.0,4.0,2,481.0,72.0,0,2,0
96,41.0,1.0,1.0,4.0,10.0,2.0,4.0,4.0,7,0.0,553.0,0,7,0
97,12.0,1.0,1.0,4.0,10.0,2.0,4.0,4.0,2,0.0,244.0,0,2,0
